Downscaled Variable,Predictor,Test Loss,Backbone,Filters,Blocks,Epochs,Parameters,Upsampling Method,Interpolation Method,Batch Size,Learning Rate,Loss Function,Early Stopping,Training Runtime,Model Path,Conv Block,Device
SWDOWN,PSFC,0.1665,resnet,4,4,2,4016836,spc,inter_area,32,0.001,mae,True,0:05:34,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Best-Model,True,cpu
SWDOWN,T2,0.2377,resnet,4,4,2,4016836,spc,inter_area,32,0.001,mae,True,0:05:14,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,PSFC,0.6501,resnet,4,4,1,4016836,spc,inter_area,32,0.001,mae,True,0:02:51,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,PSFC,0.0979,resnet,4,4,3,4016836,spc,inter_area,32,0.001,mae,True,0:09:08,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Best-Model,True,cpu
SWDOWN,PSFC,0.0609,resnet,8,8,25,61585149,spc,inter_area,32,0.001,mae,True,5:01:02,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Best-Model,True,cpu
SWDOWN,sin_time+cos_time,0.0963,resnet,4,4,5,4016872,spc,inter_area,32,0.001,mae,True,0:21:31,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,sin_time+cos_time,0.0965,resnet,4,4,5,4016872,spc,inter_area,16,0.001,mae,True,0:27:20,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,sin_time+cos_time,0.0614,resnet,4,4,25,4016872,spc,inter_area,32,0.001,mae,True,1:22:44,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,sin_time+cos_time+T2,0.0633,resnet,4,4,25,4016908,spc,inter_area,32,0.001,mae,True,0:46:45,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,sin_time+cos_time+T2,0.0718,resnet,4,4,50,4016908,spc,inter_area,32,0.001,mae,True,0:52:44,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Other-Models,True,cpu
SWDOWN,sin_time+cos_time+T2,0.0458,resnet,6,6,50,19691898,spc,inter_area,32,0.001,mae,True,2:08:23,/home/gvaillant1/downscaling/pretrained-models/SWDOWN/SWDOWN-Best-Model,True,cpu
